adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
 Avalanche Sharks tells the story of a bikini contest that turns into a horrifying affair when it is hit by a shark avalanche.,2.185485,/zaSf5OG7V8X8gqFvly88zDdRm46.jpg,"[{'name': 'Odyssey Media', 'id': 17161}, {'name': 'Pulser Productions', 'id': 18012}, {'name': 'Rogue State', 'id': 18013}, {'name': 'The Cartel', 'id': 23822}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}]",2014-01-01,0,82.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Beware Of Frost Bites,Avalanche Sharks,False,4.3,22,,,,,,,,,
False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,96159,tt0090812,hi,चमेली की शादी,"Charandas, a young man in a village has no aim in life except to be a pehelwaan (wrestler). He takes an oath that he will not court or marry a girl until he hits the age of forty. But things changes when Charandas meets Chameli and falls in love with her. A hilarious take on the caste system of India, as both of them come from different castes and try hard to marry each other.",9e-06,/jHodRJMbZ7tpEVXZB2tw3achnXq.jpg,[],[],1986-02-21,0.0,137.0,"[{'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Released,,Chameli Ki Shaadi,False,0.0,0.0
False,,0,"[{'id': 878, 'name': 'Science Fiction'}]",,85013,tt0091238,en,Hyper Sapien: People from Another Star,Three aliens from the planet Taros land on Earth and are befriended by a Wyoming rancher's son.,9e-06,/kFI5AnjWK124ILZXN5QMqLhbukl.jpg,[],[],1986-12-01,0.0,92.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,She was from another star. He had waited his whole life for this one meeting. Together they fell in love with a place called Earth.,Hyper Sapien: People from Another Star,False,0.0,0.0
False,"{'id': 422837, 'name': 'Blade Runner Collection', 'poster_path': '/foT46aJ7QPUFDl3CK8ArDl0JaZX.jpg', 'backdrop_path': '/57zhlMYblPute6qb8v16ZmGSPVv.jpg'}",28000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",http://www.warnerbros.com/blade-runner,78,tt0083658,en,Blade Runner,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.",96.272374,/p64TtbZGCElxQHpAMWmDHkWJlH2.jpg,"[{'name': 'Shaw Brothers', 'id': 5798}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'The Ladd Company', 'id': 7965}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'HK', 'name': 'Hong Kong'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1982-06-25,33139618.0,117.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}, {'iso_639_1': 'ja', 'name': '日本語'}, {'iso_639_1': 'hu', 'name': 'Magyar'}]",Released,Man has made his match... now it's his problem.,Blade Runner,False,7.9,3833.0
False,,127500000,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",,10567,tt0130623,en,Dinosaur,An orphaned dinosaur raised by lemurs joins an arduous trek to a sancturary after a meteorite shower destroys his family home.,9.998415,/jZDp3C5howi40aCeqXDJliodXk9.jpg,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Walt Disney Feature Animation', 'id': 10217}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2000-05-19,354248063.0,82.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,You have never seen anything like this.,Dinosaur,False,6.2,563.0
False,"{'id': 285564, 'name': 'Jarhead Collection', 'poster_path': '/aRFpBjCseFD6UmahAuLdqS7Or5q.jpg', 'backdrop_path': '/ifSnip5tvaHvxLPAyjkiihE6T2I.jpg'}",72000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",,25,tt0418763,en,Jarhead,"Jarhead is a film about a US Marine Anthony Swofford’s experience in the Gulf War. After putting up with an arduous boot camp, Swafford and his unit are sent to the Persian Gulf where they are earger to fight but are forced to stay back from the action. Meanwhile Swofford gets news of his girlfriend is cheating on him. Desperately he wants to kill someone and finally put his training to use.",9.997032,/kmbyO0XUHRHcMyxVSZAWDdrpxIu.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Neal Street Productions', 'id': 1522}, {'name': 'Red Wagon Entertainment', 'id': 14440}, {'name': 'Motion Picture KAPPA Produktionsgesellschaft', 'id': 19934}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2005-11-04,96889998.0,125.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}, {'iso_639_1': 'ar', 'name': 'العربية'}, {'iso_639_1': 'la', 'name': 'Latin'}]",Released,Welcome to the suck.,Jarhead,False,6.6,776.0
False,,20000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,7511,tt0434139,en,The Last Kiss,"Revolves around a young couple and their friends struggling with adulthood and issues of relationships and commitment. Based on the 2001 Italian film L'ultimo bacio, directed by Gabriele Muccino.",9.996541,/wm5JKD6pXjsgXpXGmViYHAB5In8.jpg,"[{'name': 'Lakeshore Entertainment', 'id': 126}, {'name': ""Mel's Cite du Cinema"", 'id': 54502}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2006-09-10,0.0,115.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,We all make choices. What's yours?,The Last Kiss,False,5.9,125.0
False,,50000000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",,69668,tt1462041,en,Dream House,"Publisher, Will Atenton quits a lucrative job in New York to relocate his wife, Libby and their daughters to a quaint town in New England. However, as they settle into their home the Atentons discover that a woman and her children were murdered there, and the surviving husband is the town's prime suspect. With help from a neighbor who was close to the murdered family, Will pieces together a horrifying chain of events.",9.995617,/8MDE7wXp7gxf61yRDptSLowU2e6.jpg,"[{'name': 'Cliffjack Motion Pictures', 'id': 8430}, {'name': 'Morgan Creek Productions', 'id': 10210}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2011-09-30,38502340.0,84.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"Once upon a time, there were two little girls who lived in a house.",Dream House,False,5.8,401.0
False,,0,"[{'id': 18, 'name': 'Drama'}]",,10549,tt0116477,en,Hamlet,"Hamlet, Prince of Denmark, returns home to find his father murdered and his mother remarrying the murderer, his uncle. Meanwhile, war is brewing.",9.994088,/gApBWTMD5N8UVClI7rcqwf6dIrB.jpg,"[{'name': 'Castle Rock Entertainment', 'id': 97}, {'name': 'Turner Pictures (I)', 'id': 6189}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1996-12-25,0.0,242.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Hamlet,False,7.3,118.0
False,,852510,"[{'id': 18, 'name': 'Drama'}]",,2009,tt1032846,ro,"4 luni, 3 săptămîni și 2 zile","Gabita is pregnant, abortion is strictly forbidden in Romania during the communist regime. Despite this it is common practice and Gabita wants an abortion. The movie follows her and her friend Otilia during the day she has made the appointment with Mr. Bebe to have the abortion.",9.990406,/wVRKGg1lDcS43vyq5ejKtGE5UZA.jpg,"[{'name': 'Saga Film', 'id': 859}, {'name': 'Mobra Films', 'id': 5545}, {'name': 'Mindshare Media', 'id': 35020}, {'name': 'Centrul National al Cinematografiei (CNC)', 'id': 69462}, {'name': 'McCann-Erickson', 'id': 73925}, {'name': 'Televiziunea Romana (TVR1)', 'id': 73926}, {'name': 'Hubert Bals Fund of the Rotterdam Festival, The', 'id': 73927}]","[{'iso_3166_1': 'BE', 'name': 'Belgium'}, {'iso_3166_1': 'RO', 'name': 'Romania'}]",2007-08-24,1185783.0,113.0,"[{'iso_639_1': 'ro', 'name': 'Română'}]",Released,At what moment do we begin to live?,"4 Months, 3 Weeks and 2 Days",False,7.4,158.0
